sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/osmaps/scripts/getClientHasAuthorisation.php,150,841,229,5064,627.0302260656977,0.0,16.850146034598964,9.017460963828354,548.0
/osmaps/scripts/requestPOICategories.php,150,470,45,1715,454.92561350425433,0.0,14.540519581233035,14.625717938154322,1030.0
FindRoutes,150,2624,946,4080,793.016670162459,0.013333333333333334,12.66784899923993,153.03817245165106,12370.773333333333
FindPOIs,150,3040,523,4803,1118.9103349241163,0.0,13.492848790141226,13.716763318566159,1040.9933333333333
Login,150,7079,3746,10582,1499.5610685352808,0.0,7.575757575757576,8.515230429292929,1150.9866666666667
/osmaps/scripts/loadUserPreferences.php,150,88,27,1817,168.87361428002896,0.0,9.165902841429881,4.46658741979835,499.0
HTTP Request,3150,41,3,792,53.393125932091685,0.14285714285714285,143.9473563953754,8723.769503581547,62058.381587301585
getElevation,450,2858,56,90268,8520.557601449844,0.2577777777777778,2.3209036051369334,2.650222097581103,1169.2977777777778
PlotWaypoint1,150,4149,879,73316,12266.439324235684,0.0,0.963304519824807,1.6434501915370487,1747.0
PlotWaypoint2,150,884,177,9132,1709.3999752999753,0.0,0.7817467349044706,1.3329392569757867,1746.0
PlotWaypoint3,150,1527,179,36528,4305.281561828706,0.0,0.7825746706664928,1.3259443882874657,1735.0
/osmaps/scripts/saveRoute.php,150,2985,0,38805,7360.276954405694,0.11333333333333333,0.7488916403722491,0.4498664242546032,615.1266666666667
PrintRoute,38,98650,23236,166871,47000.07010271339,0.10526315789473684,0.1720305490038073,1133.7460106525957,6748545.078947368
TOTAL,5138,1697,0,166871,10102.751159506714,0.11463604515375632,21.64571467089077,1875.331890875929,88716.86084079408
