sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
Subscriber:SubscriberLogin,200,9232,4413,15672,3271.5768610106065,0.32,9.076057360682519,6.798401266677255,767.025
Subscriber:DiscoverRoutes,200,6570,119,16696,6401.167868910718,0.0,9.178943503602737,16.52599756471155,1843.635
Subscriber:FindPOIs,200,882,78,3545,943.7830282432504,0.0,9.502541929966265,11.227661602603696,1209.9
Subscriber:SearchLocation,200,809,781,1471,62.93301021721467,0.0,9.324009324009324,15.315413752913754,1682.0
Subscriber:PlotWaypoint1,200,165,157,706,39.479736574602384,0.0,9.613073780341264,16.391041816870946,1746.0
Subscriber:PlotWaypoint2,200,320,299,3299,211.3617438776469,0.0,9.532434107049236,16.244235856250892,1745.0
Subscriber:PlotWaypoint3,200,167,159,302,17.873107592134236,0.0,9.927529038022437,16.81087436712002,1734.0
Subscriber:SaveRoute,200,803,42,3017,844.3037692531049,0.0,9.701673538685423,5.175852307179238,546.305
Subscriber:PrintRoute,200,39751,41,79005,29293.540223219436,0.0,2.0699433870483643,1873.9135222932903,927024.12
TOTAL,1800,6522,41,79005,15774.037084164795,0.035555555555555556,15.775497147264266,1606.1325071236229,104255.33166666667
