sampler_label,aggregate_report_count,average,aggregate_report_min,aggregate_report_max,aggregate_report_stddev,aggregate_report_error%,aggregate_report_rate,aggregate_report_bandwidth,average_bytes
/osmaps/scripts/getClientHasAuthorisation.php,150,1175,322,4836,723.9134546492573,0.0,19.384853967433447,10.373925756009305,548.0
/osmaps/scripts/requestPOICategories.php,150,785,57,1917,654.280007200451,0.0,17.83166904422254,17.936151480028528,1030.0
DiscoverRoutes,150,2931,1152,4724,726.0495467941573,0.0,12.356866298706647,136.96315208213198,11349.986666666666
FindPOIs,150,3206,1153,6186,1105.9792788093066,0.0,10.619469026548673,10.795699668141593,1040.9933333333333
Login,150,11071,5387,16186,2264.991889011722,0.0,6.888001102080176,7.742184988749598,1150.9866666666667
/osmaps/scripts/loadUserPreferences.php,150,275,36,1708,351.8489006503912,0.0,9.77326035965598,4.762555585418295,499.0
HTTP Request,3150,109,3,875,133.4549843847837,0.19047619047619047,120.39903680770554,11646.083194181669,99050.53650793651
getElevation,450,3765,95,55625,8573.999732949742,0.46,2.701291217201822,4.232198772263142,1604.3333333333333
PlotWaypoint1,150,1536,788,7638,635.1181730460352,0.0,1.3670789169089435,2.332311394374926,1747.0
PlotWaypoint2,150,1529,157,14877,2769.5391152961815,0.0,0.9663516360333199,1.6477050356583753,1746.0
PlotWaypoint3,150,2030,160,64844,5940.262145435073,0.0,0.9107965826912218,1.5431953818059274,1735.0
/osmaps/scripts/saveRoute.php,150,2674,0,33760,5210.943019641988,0.18666666666666668,0.8863414778266907,0.633976515643927,732.44
PrintRoute,34,47338,11423,96634,25190.488303793645,0.47058823529411764,0.16632179353595242,648.7975645169574,3994477.7647058824
TOTAL,5134,1505,0,96634,5606.558945193101,0.16575769380599922,21.827117664064758,1875.719326972848,87997.72010128555
